Heading,Subheading,Title,URL,Filepath,Content Type,Content Hash
BYU-Pathway Support Knowledge Articles,,Using BYU-Pathway Support Knowledge Articles,https://missionaries.prod.byu-pathway.psdops.com/Using-BYUPW-Support-Knowledge-Articles,./data/pdf/Using-BYU-Pathway-Support-Knowledge-Articles.pdf,pdf,195352aea2bda5641631964b1231d27b198c0519948458d7f920083be8972c00
BYU-Pathway Worldwide,BYU-Pathway Worldwide Overview,Service Missionaries Flyer,https://missionaries.prod.byu-pathway.psdops.com/2024_Service-Missionaries-Flyer,./data/pdf/Service-Missionaries-Flyer.pdf,pdf,8dae12cfc07f3ed267dd3e50b9ff19593c4a2924d6ad241071968aa3ad181530
BYU-Pathway Worldwide,BYU-Pathway Worldwide Overview,5 things to know about BYU-Pathway Worldwide,https://www.byupathway.edu/articles/feature/5-things-about-byupw,./data/html/-things-to-know-about-BYU-Pathway-Worldwide.html,html,b1ef011ab925d213007ff7bb49e338937c168a1671cdfacbf82677a936377802
BYU-Pathway Worldwide,BYU-Pathway Worldwide Overview,BYU-Pathway Student Honor Code,https://www.byupathway.edu/student-wellness/student-honor,./data/html/BYU-Pathway-Student-Honor-Code.html,html,5e67fe69b5dab7665f8db3c8672bd182a0720ec7510362113fe0dd687376c122
BYU-Pathway Worldwide,BYU-Pathway Worldwide Overview,BYU-Pathway Worldwide History,https://missionaries.prod.byu-pathway.psdops.com/BYU-Pathway-Worldwide-History,./data/pdf/BYU-Pathway-Worldwide-History.pdf,pdf,6d7250be622c3655dd9c59301e778be3126e659f0fc9262f2dec03fefdd1e49b
BYU-Pathway Worldwide,BYU-Pathway Worldwide Overview,Certificate-First Approach,https://missionaries.prod.byu-pathway.psdops.com/Certificate-First-Approach,./data/pdf/Certificate-First-Approach.pdf,pdf,e9b18ba94b82dd698e21768b9093e4e42dbb3ae264f42c63db91416f3e587402
BYU-Pathway Worldwide,BYU-Pathway Worldwide Overview,Certificate-First Structure,https://www.byupathway.edu/degrees/degree-options,./data/html/Certificate-First-Structure.html,html,41f12ba2831a2c1fe58122fa6df025bd03db4b69b01220942e9274bc0aca84a9
BYU-Pathway Worldwide,BYU-Pathway Worldwide Overview,Check Student History for Past Grades,https://missionaries.prod.byu-pathway.psdops.com/Check-Student-History-for-Past-Grades,./data/pdf/Check-Student-History-for-Past-Grades.pdf,pdf,b68d2cee2fd4c7c295095cdc2cc7667c016b454dd5586b8bdcec5c795e278858
BYU-Pathway Worldwide,BYU-Pathway Worldwide Overview,Church HR Annual Workforce Training,https://missionaries.prod.byu-pathway.psdops.com/Church-HR-Annual-Workforce-Training,./data/pdf/Church-HR-Annual-Workforce-Training.pdf,pdf,c275bdc3b6ad9d89a48fd17af735fd90812a64c0d784ac847b4860671147b2c5
BYU-Pathway Worldwide,BYU-Pathway Worldwide Overview,Finding the Correct BYU-Pathway Application,https://missionaries.prod.byu-pathway.psdops.com/Finding-the-Correct-BYU-Pathway-Application,./data/pdf/Finding-the-Correct-BYU-Pathway-Application.pdf,pdf,48fa07f40ba639470b9bd38245d1ca99bd1649a0d53f2b1f620eb4db2ddc3485
BYU-Pathway Worldwide,BYU-Pathway Worldwide Overview,Guidelines for Communicating with Students or Learners,https://missionaries.prod.byu-pathway.psdops.com/Guidelines-for-Communicating-with-Students-or-Learners,./data/pdf/Guidelines-for-Communicating-with-Students-or-Learners.pdf,pdf,b46290827486a8fc7f1d343b8ccfd545b46ded2b44292c08dd54630466f41a3c
BYU-Pathway Worldwide,BYU-Pathway Worldwide Overview,Mission Statement,https://missionaries.prod.byu-pathway.psdops.com/Mission-Statement,./data/pdf/Mission-Statement.pdf,pdf,5d064089a389e8342b75584bda76e709e2f171ff61db37e3ee4a95fdd272bb3b
BYU-Pathway Worldwide,BYU-Pathway Worldwide Overview,Restrictions for Applying to BYU-Pathaway,https://missionaries.prod.byu-pathway.psdops.com/Restrictions-for-Applying-to-BYUPW,./data/pdf/Restrictions-for-Applying-to-BYU-Pathaway.pdf,pdf,52332b6d869d2c6f222c6f55e6dc796e343125b21ca7c95c792232415c6727e9
BYU-Pathway Worldwide,BYU-Pathway Worldwide Overview,Updating Group Information,https://missionaries.prod.byu-pathway.psdops.com/Updating-Group-Information,./data/pdf/Updating-Group-Information.pdf,pdf,5baf73f9594dac803b0ad88c2d0721dd8ee3b5a53ec280b96e5e67a839614488
BYU-Pathway Worldwide,BYU-Pathway Worldwide Partners,BYU Hawaii,https://news.byuh.edu/announcements/expanded-opportunities-for-students-in-the-pacific-islands-and-asia,./data/html/BYU-Hawaii.html,html,03e0809a3501713dc3232ec17f22ada5018e718ed0cf4333eaf013636863a451
BYU-Pathway Worldwide,BYU-Pathway Worldwide Partners,Ensign College Overview and Learning Signature,https://missionaries.prod.byu-pathway.psdops.com/Ensign-College-Overview,./data/pdf/Ensign-College-Overview-and-Learning-Signature.pdf,pdf,06586ccb59031143277bed6c15fbf8084d78508f743733ec9a763189cfccbb83
BYU-Pathway Worldwide,Facts and Statistics,Facts and Statistics,https://www.byupathway.edu/facts-stats,./data/html/Facts-and-Statistics.html,html,a65ad81e6c25b3e83bc4e09d0ecaf8b0ad0a7d7cfdc15cfb671cc5bc4e3aa0e2
BYU-Pathway Worldwide,History,About BYU-Pathway Worldwide Support Knowledge Article,https://pathway-missionary.powerappsportals.com/knowledgebase/article/KA-01152/en-us,./data/html/About-BYU-Pathway-Worldwide-Support-Knowledge-Article.html,html,7ae1fa51512199d8dd94ceb0c9f3861ca25d4d97603cd879172da2ee151d049a
BYU-Pathway Worldwide,Organization/Leadership,Area Manager Assignments,https://missionaries.prod.byu-pathway.psdops.com/Area-Manager-Assignments,./data/pdf/Area-Manager-Assignments.pdf,pdf,74378f11227dae89562d11a07a7121f5b1537a00bcfc075b774404e178455513
BYU-Pathway Worldwide,Organization/Leadership,Area Structure and Communication,https://missionaries.prod.byu-pathway.psdops.com/Area-Structure-and-Communication,./data/pdf/Area-Structure-and-Communication.pdf,pdf,e298fd7abcd56223e147a9e259a92cc7a7231dd74e554d30ebe858efb2a056d6
Calendars,Academic Calendars,Ensign College Academic Calendars,https://calendar.ensign.edu/academic-calendars,./data/html/Ensign-College-Academic-Calendars.html,html,4c2447efdf2382ffe489415f643ce6481fa53acdbfb4040b61663efb57694c27
Calendars,Calendar,EC3 Auto-Drop,https://missionaries.prod.byu-pathway.psdops.com/Autodrop-for-EC3,./data/pdf/EC-Auto-Drop.pdf,pdf,377ad8ea85bc0eda13a93bfe1c9b6efc9b4217ad045d1dd92588f8ed93232748
Calendars,EnglishConnect 3 Academic Calendars,Academic Calendars,https://missionaries.prod.byu-pathway.psdops.com/EnglishConnect-Academic-Calendar,./data/pdf/Academic-Calendars.pdf,pdf,c8f5508a222540209aa0d2b26a1e94c59a1b79d66ce8aa23ce4a0863e424ceaa
Calendars,EnglishConnect 3 Academic Calendars,Auto-Drop for EC3,https://missionaries.prod.byu-pathway.psdops.com/Autodrop-for-EC3,./data/pdf/Auto-Drop-for-EC.pdf,pdf,377ad8ea85bc0eda13a93bfe1c9b6efc9b4217ad045d1dd92588f8ed93232748
Calendars,PathwayConnect Academic Calendars,Academic Calendar,https://www.byupathway.edu/pathwayconnect-block-academic-calendar,./data/html/Academic-Calendar.html,html,473e2662ebffb445396b5e55fc9c0005934c88eae895e47f6b3131ca42dd09b3
Calendars,PathwayConnect Academic Calendars,Auto-Drop Support Knowledge Article,https://pathway-missionary.powerappsportals.com/knowledgebase/article/KA-01129/en-us,./data/html/Auto-Drop-Support-Knowledge-Article.html,html,330b6c907e480e914a1c93bdd612c233c474cd1f252a637dedcde01497016b7c
Calendars,PathwayConnect Academic Calendars,Explain Auto-drop to Students for PC,https://missionaries.prod.byu-pathway.psdops.com/Explain-Auto-drop-to-Students-for-PC,./data/pdf/Explain-Auto-drop-to-Students-for-PC.pdf,pdf,896f75bf5af0af9344dfa69fe1f8e1b36b1cdad93f19b8453f4e4a2fb9656932
Canvas – Course Previews for Missionaries,,Canvas Curriculum and Course Previews for Missionaries,https://missionaries.prod.byu-pathway.psdops.com/Course-Preview-Overview,./data/pdf/Canvas-Curriculum-and-Course-Previews-for-Missionaries.pdf,pdf,735754e0019c1342306076073313b412325a7ae41b928e1bdad191a6d7d442d2
Canvas – Student Questions,Communication,How do I contact a grader?,https://resourcecenter.byupathway.org/faqs/f03-01,./data/html/How-do-I-contact-a-grader.html,html,cd1605034e3834c024c16837289243cb3a49f8ac28edd1dd717a57e4758e2446
Canvas – Student Questions,Communication,How do I read announcements in Canvas?,https://resourcecenter.byupathway.org/how-to-read-announcements-in-canvas,./data/html/How-do-I-read-announcements-in-Canvas.html,html,81fb232c52cd1a09129a09d197a0a31b2e56a2093027b8ae294a5f80daf910a6
Canvas – Student Questions,Communication,How do I set up notifications in Canvas?,https://resourcecenter.byupathway.org/notification-set-up,./data/html/How-do-I-set-up-notifications-in-Canvas.html,html,32ee4891572c556cd6be9e3b530645213f62a3f8d7198d102d0ed410dd71c465
Canvas – Student Questions,Communication,How do I use my Canvas Inbox?,https://resourcecenter.byupathway.org/faqs/f03-02,./data/html/How-do-I-use-my-Canvas-Inbox.html,html,b12a731c02741833fe8ccd73f102418c22c5137df5faecd9ae626a6add0691e0
Canvas – Student Questions,Completing Work,How do I complete an assignment using Microsoft 365?,https://resourcecenter.byupathway.org/faqs/canvas/how-do-i-complete-an-assignment-using-microsoft-365,./data/html/How-do-I-complete-an-assignment-using-Microsoft-.html,html,ed42eae09c59597f1c614a1f45da6b61f268ae1379581c228ac20550942f850a
